                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.71124,                0.61225,                 1.0661,                0.90906,                0.82123,                0.87986,                0.68403,                 1.0334,                0.78984,                 1.3067,             0.00014838,             0.00014838,             0.00014838
                     59,                0.68762,                 0.5925,                 1.0465,                0.90731,                0.82461,                0.88047,                0.68716,                 1.0396,                0.78884,                 1.3078,             0.00014509,             0.00014509,             0.00014509
                     60,                0.68846,                0.59219,                 1.0452,                0.88499,                0.85478,                0.89024,                0.70432,                 1.0187,                0.79334,                 1.2776,             0.00014179,             0.00014179,             0.00014179
                     61,                0.68539,                0.60506,                 1.0493,                0.91956,                0.83618,                0.89575,                  0.699,                 1.0313,                0.77107,                  1.292,             0.00013849,             0.00013849,             0.00013849
                     62,                0.67905,                0.61019,                 1.0432,                0.91415,                0.84868,                0.89372,                 0.6976,                 1.0299,                0.77735,                 1.2788,              0.0001352,              0.0001352,              0.0001352
                     63,                 0.6822,                0.58373,                 1.0432,                0.93714,                0.82209,                 0.8938,                0.69983,                 1.0225,                0.75996,                 1.2984,              0.0001319,              0.0001319,              0.0001319
                     64,                0.67634,                0.58114,                 1.0418,                0.93838,                0.80978,                 0.8963,                0.70428,                  1.024,                0.76729,                 1.2797,              0.0001286,              0.0001286,              0.0001286
                     65,                 0.6719,                0.60767,                 1.0459,                0.92032,                0.84065,                0.89338,                0.70042,                 1.0264,                0.76166,                 1.2902,             0.00012531,             0.00012531,             0.00012531
                     66,                0.67215,                0.57613,                 1.0415,                0.92276,                0.82924,                0.89062,                0.70768,                 1.0052,                0.77466,                 1.2844,             0.00012201,             0.00012201,             0.00012201
                     67,                0.67205,                 0.5592,                 1.0373,                0.93394,                0.84719,                0.89788,                 0.7009,                 1.0314,                0.75195,                 1.2974,             0.00011871,             0.00011871,             0.00011871
                     68,                0.68367,                0.59462,                 1.0483,                0.92021,                0.86017,                0.89746,                0.70929,                 1.0339,                0.76682,                 1.2996,             0.00011542,             0.00011542,             0.00011542
                     69,                0.68427,                0.59256,                 1.0533,                0.90331,                0.86114,                 0.8934,                0.69531,                 1.0245,                0.75229,                 1.2878,             0.00011212,             0.00011212,             0.00011212
